Fila PDF,ID,Nombre español,Nombre original,Alternativos originales,Punto personal,Significador,Disparador,Fórmula diurna propuesta,Fórmula nocturna propuesta,Reverse Nocturnal literal,Fuente primaria,Fuentes secundarias,Categorías originales,Dub.,Mult.,Variantes manuscritas,Estado,Advertencias
289,lusby-traditional-0289,Fuerza,Strength,,Asc,MC,Sun,normalizar360(Asc + MC − Sun),normalizar360(Asc + Sun − MC),reverse,O2,"MSP, MSV",Hellenistic,,,,pending_review,
290,lusby-traditional-0290,Fuerza del cuerpo,Strength of the Body,,Asc,Jupiter,Moon,normalizar360(Asc + Jupiter − Moon),normalizar360(Asc + Jupiter − Moon),,FM,,Hellenistic,,,,pending_review,
291,lusby-traditional-0291,Sustancia y posesiones,Substance and Possessions,,Asc,Jupiter,Mercury,normalizar360(Asc + Jupiter − Mercury),normalizar360(Asc + Jupiter − Mercury),,FM,,Hellenistic,,,,pending_review,
292,lusby-traditional-0292,Éxito,Success,,Asc,Jupiter,Fortune,normalizar360(Asc + Jupiter − Fortune),normalizar360(Asc + Fortune − Jupiter),reverse,GI,B,"Medieval, Mundane",,,,pending_review,
293,lusby-traditional-0293,Desenlace favorable,Successful Issue,,Asc,Jupiter,Sun,normalizar360(Asc + Jupiter − Sun),normalizar360(Asc + Jupiter − Sun),,B,,"Medieval, Horary",,,,pending_review,
294,lusby-traditional-0294,Sufrimiento,Suffering,,Asc,Fortune,Spirit,normalizar360(Asc + Fortune − Spirit),normalizar360(Asc + Fortune − Spirit),,GI,,Medieval,,,,pending_review,
295,lusby-traditional-0295,Azúcar (al-Bīrūnī),Sugar (al-Bīrūnī),,Asc,Mercury,Venus,normalizar360(Asc + Mercury − Venus),normalizar360(Asc + Venus − Mercury),reverse,B,,"Medieval, Commodity",,,,pending_review,
296,lusby-traditional-0296,Azúcar (al-Qabīṣī; latín),Sugar (al-Qabīṣī Latin),,Asc,Venus,Mercury,normalizar360(Asc + Venus − Mercury),normalizar360(Asc + Venus − Mercury),,QL,GB,"Medieval, Commodity",,,,pending_review,
297,lusby-traditional-0297,Alimentos dulces,Sweet Foods,,Asc,Venus,Sun,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,reverse (B),Q,"B, BW, GB","Medieval, Commodity",,,,conditional,Regla nocturna especial: reverse (B). Requiere seleccionar y validar su alcance antes de producir una fórmula operativa.
298,lusby-traditional-0298,"Relatos, conocimiento de rumores y supersticiones","Tales, Knowledge of Rumors & Superstiations",,Asc,Jupiter,Sun,normalizar360(Asc + Jupiter − Sun),normalizar360(Asc + Sun − Jupiter),reverse,GI,,Medieval,,,,pending_review,"Se conserva el nombre inglés del documento, incluidas sus grafías; la traducción es editorial y revisable."
299,lusby-traditional-0299,El acreedor,The Creditor,,Asc,Mercury,Saturn,normalizar360(Asc + Mercury − Saturn),normalizar360(Asc + Mercury − Saturn),,MSL,,Hellenistic,,,,pending_review,
300,lusby-traditional-0300,El fugitivo,The Fugitive,,Asc,Mars,Mercury,normalizar360(Asc + Mars − Mercury),normalizar360(Asc + Mercury − Mars),reverse,MSL,"MSP, MSV",Hellenistic,,,,pending_review,
301,lusby-traditional-0301,El marido,The Husband,,Asc,Venus,Mars,normalizar360(Asc + Venus − Mars),normalizar360(Asc + Mars − Venus),reverse,FM,,Hellenistic,,,,pending_review,
302,lusby-traditional-0302,El rey (Theophilus),The King (Theophilus),,Cancer,Leo,Moon,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,,TE,,"Medieval, Mundane",,,,unsupported_operand,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web. | Cancer: Signo sin grado: no sustituir por 0° ni por su regente. | Leo: Signo sin grado: no sustituir por 0° ni por su regente.
303,lusby-traditional-0303,El amo,The Master,,Asc,Sun,Venus,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,"reverse (MSP, MSV)",MSL,"MSP, MSV",Hellenistic,,,,conditional,"Regla nocturna especial: reverse (MSP, MSV). Requiere seleccionar y validar su alcance antes de producir una fórmula operativa."
304,lusby-traditional-0304,El mes,The Month,,Leo,Cancer,Sun,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,,TE,,"Medieval, Mundane",,,,unsupported_operand,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web. | Leo: Signo sin grado: no sustituir por 0° ni por su regente. | Cancer: Signo sin grado: no sustituir por 0° ni por su regente.
305,lusby-traditional-0305,Los elogiados y recomendados,The Praised & Commended,,Asc,Venus,Jupiter,normalizar360(Asc + Venus − Jupiter),normalizar360(Asc + Jupiter − Venus),reverse,GI,,Medieval,,,,pending_review,
306,lusby-traditional-0306,Robo (Olympiodorus),Theft (Olympiodorus),Thieves,Asc,Mars,Mercury,normalizar360(Asc + Mars − Mercury),normalizar360(Asc + Mercury − Mars),reverse,O1,"O2, MSP, MSV",Hellenistic,,,,pending_review,
307,lusby-traditional-0307,Robo (Valens),Theft (Valens),,Saturn,Mars,Mercury,normalizar360(Saturn + Mars − Mercury),normalizar360(Saturn + Mercury − Mars),reverse,VV,,Hellenistic,,,,pending_review,
308,lusby-traditional-0308,Los honrados y conocidos entre la gente,Those Honored & Known Among Peopl,,Asc,Sun,Mercury,normalizar360(Asc + Sun − Mercury),normalizar360(Asc + Sun − Mercury),,GI,,Medieval,,,,pending_review,"Se conserva el nombre inglés del documento, incluidas sus grafías; la traducción es editorial y revisable."
309,lusby-traditional-0309,Los elevados repentinamente,Those Suddenly Elevated,,Asc,Fortune,Saturn,normalizar360(Asc + Fortune − Saturn),normalizar360(Asc + Saturn − Fortune),reverse,GI,,Medieval,,,,pending_review,
310,lusby-traditional-0310,Momento de actuar,Time for Action,Time of Dignity,Asc,Jupiter,Sun,normalizar360(Asc + Jupiter − Sun),normalizar360(Asc + Jupiter − Sun),,B,R,"Medieval, Horary",,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
311,lusby-traditional-0311,Tiempo ocupado por la acción,Time Occupied by Action,,Asc,Saturn,Sun,normalizar360(Asc + Saturn − Sun),normalizar360(Asc + Saturn − Sun),,B,,"Medieval, Horary",,,,pending_review,
312,lusby-traditional-0312,Momento de la consecución,Time of Attainment,,Asc,Ruler 10th,Lord of Hour,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,reverse,B,,"Medieval, Horary",Sí,,,dubious,Dub.: fórmula dudosa o fuentes conflictivas según la compilación; desactivada por defecto. | Lord of Hour: El proyecto no dispone todavía de un cálculo validado de horas planetarias.
313,lusby-traditional-0313,Momento de los hijos,Time of Children,,Asc,Jupiter,Mars,normalizar360(Asc + Jupiter − Mars),normalizar360(Asc + Jupiter − Mars),,DS,"SB, GI, Q, R","Hellenistic, Medieval",,,,pending_review,
314,lusby-traditional-0314,Tortura,Torture,,6th,Saturn,Moon,normalizar360(6th + Saturn − Moon),normalizar360(6th + Saturn − Moon),,UT,B,"Medieval, Horary",,,,pending_review,
315,lusby-traditional-0315,Viajes,Travel,Living Abroad,Asc,9th,Ruler 9th,normalizar360(Asc + 9th − Ruler 9th),normalizar360(Asc + 9th − Ruler 9th),,MSL,"BA, SB, GI, Q, R","Hellenistic, Medieval",,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
316,lusby-traditional-0316,Viajes (Firmicus),Travel (Firmicus),Living Abroad,Asc,Mars,Sun,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,"reverse (O1, MSL, MSP, MSV)",FM,"O2, MSL, MSP, MSV","Hellenistic, Medieval",,,,conditional,"El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web. | Regla nocturna especial: reverse (O1, MSL, MSP, MSV). Requiere seleccionar y validar su alcance antes de producir una fórmula operativa."
317,lusby-traditional-0317,Cosas subterráneas A,Underground Things A,Properties,Asc,Saturn,Venus,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,"reverse (MSP, MSV)",O2,"MSL, MSP, MSV",Hellenistic,,Sí,2A,conditional,"Mult.: confirmada en múltiples fuentes según la compilación; no equivale a una comprobación nueva de los textos originales. | El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web. | Regla nocturna especial: reverse (MSP, MSV). Requiere seleccionar y validar su alcance antes de producir una fórmula operativa."
318,lusby-traditional-0318,Cosas subterráneas B,Underground Things B,Properties,Asc,Mars,Venus,normalizar360(Asc + Mars − Venus),normalizar360(Asc + Venus − Mars),reverse,O2,,Hellenistic,Sí,,"2B, 2L",dubious,Dub.: fórmula dudosa o fuentes conflictivas según la compilación; desactivada por defecto. | El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
319,lusby-traditional-0319,Cosas subterráneas C,Underground Things C,Properties,Asc,Venus,Mars,normalizar360(Asc + Venus − Mars),normalizar360(Asc + Mars − Venus),reverse,O1,,Hellenistic,Sí,,1B,dubious,Dub.: fórmula dudosa o fuentes conflictivas según la compilación; desactivada por defecto. | El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
320,lusby-traditional-0320,Victoria,Victory,Prosperity & Aid,Asc,Jupiter,Spirit,normalizar360(Asc + Jupiter − Spirit),normalizar360(Asc + Spirit − Jupiter),reverse,PA,"O2, MSL, MSP, MSV, GI, RD, Q, R","Hellenistic, Medieval, Hermetic, Mundane",,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web. | La fila incluye Mundane. Se mantiene la categoría aunque este lote forma parte de la selección inicial solicitada; confirmar uso natal antes de activarlo en ese contexto.
321,lusby-traditional-0321,Victoria (Olympiodorus),Victory (Olympiodorus),,Asc,Mars,Venus,normalizar360(Asc + Mars − Venus),normalizar360(Asc + Venus − Mars),reverse,O1,,Hellenistic,,,,pending_review,
322,lusby-traditional-0322,Guerra (al-Ṭabarī),War (al-Ṭabarī),,Asc,Moon,Mars,normalizar360(Asc + Moon − Mars),normalizar360(Asc + Moon − Mars),,UT,B,"Medieval, Horary",,,,pending_review,
323,lusby-traditional-0323,Agua (mercancía),Water (Commodity),,Asc,Venus,Moon,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,reverse (B),Q,"B, BW, GB","Medieval, Commodity",,,,conditional,Regla nocturna especial: reverse (B). Requiere seleccionar y validar su alcance antes de producir una fórmula operativa.
324,lusby-traditional-0324,Agua (elemento),Water (Element),,Asc,Venus,Moon,normalizar360(Asc + Venus − Moon),normalizar360(Asc + Venus − Moon),,B,,"Medieval, Weather",,,,pending_review,
325,lusby-traditional-0325,Sandías (al-Bīrūnī),Watermelons (al-Bīrūnī),,Asc,Mercury,Jupiter,normalizar360(Asc + Mercury − Jupiter),normalizar360(Asc + Jupiter − Mercury),reverse,B,,"Medieval, Commodity",,,,pending_review,
326,lusby-traditional-0326,Aguas,Waters,,Asc,Saturn,Venus,normalizar360(Asc + Saturn − Venus),normalizar360(Asc + Venus − Saturn),reverse,O2,,Hellenistic,,,,pending_review,
327,lusby-traditional-0327,Riqueza A,Wealth A,,Asc,Sun,Jupiter,normalizar360(Asc + Sun − Jupiter),normalizar360(Asc + Jupiter − Sun),reverse,O2,"MSP, MSV",Hellenistic,,Sí,,multiple_sources,Mult.: confirmada en múltiples fuentes según la compilación; no equivale a una comprobación nueva de los textos originales.
328,lusby-traditional-0328,Riqueza B,Wealth B,,Asc,Sun,Saturn,normalizar360(Asc + Sun − Saturn),normalizar360(Asc + Saturn − Sun),reverse,MSL,,Hellenistic,Sí,,,dubious,Dub.: fórmula dudosa o fuentes conflictivas según la compilación; desactivada por defecto.
329,lusby-traditional-0329,Boda,Wedding,Arrangement and Facilitation of Marriage,Venus,Moon,Sun,normalizar360(Venus + Moon − Sun),normalizar360(Venus + Moon − Sun),,DS,"SB, GI","Hellenistic, Medieval",,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
330,lusby-traditional-0330,Trigo,Wheat,,Asc,Mars,Sun,normalizar360(Asc + Mars − Sun),normalizar360(Asc + Mars − Sun),,Q,"BW, GB","Medieval, Commodity",,,,pending_review,
331,lusby-traditional-0331,Trigo (al-Bīrūnī),Wheat (al-Bīrūnī),,Asc,Jupiter,Sun,normalizar360(Asc + Jupiter − Sun),normalizar360(Asc + Sun − Jupiter),reverse,B,,"Medieval, Commodity",,,,pending_review,
332,lusby-traditional-0332,Si llegará a concretarse el gobierno de alguien,Whether Someone's Rule Will Come to Pass,,Jupiter,MC,Sun,normalizar360(Jupiter + MC − Sun),normalizar360(Jupiter + MC − Sun),,Q,R,"Medieval, Mundane",,,,pending_review,
333,lusby-traditional-0333,Abstinencia de la mujer,Woman's Abstinence,,Asc,Venus,Moon,normalizar360(Asc + Venus − Moon),normalizar360(Asc + Venus − Moon),,GI,,Medieval,,,,pending_review,
334,lusby-traditional-0334,Obra de la verdad,Work of Truth,,Asc,Mars,Mercury,normalizar360(Asc + Mars − Mercury),normalizar360(Asc + Mercury − Mars),reverse,GI,,Medieval,,,,pending_review,
335,lusby-traditional-0335,Trabajo que debe hacerse,Work Which Must be Done,,Asc,Jupiter,Sun,normalizar360(Asc + Jupiter − Sun),normalizar360(Asc + Sun − Jupiter),reverse,GI,,Medieval,,,,pending_review,
